(Namespace(debug=True, route='gpx/routes/whitchurch-routeA.gpx', track='gpx/tracks/routeA/MotoG3.gpx'),)
(True,)
('gpx/routes/whitchurch-routeA.gpx',)
('gpx/tracks/routeA/MotoG3.gpx',)
track.filename	gpx/tracks/routeA/MotoG3.gpx
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05834, 'lon: ', -1.312078)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058318, 'lon: ', -1.311896)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058248, 'lon: ', -1.311719)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058185, 'lon: ', -1.31155)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058151, 'lon: ', -1.311382)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058111, 'lon: ', -1.311217)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058089, 'lon: ', -1.311013)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058072, 'lon: ', -1.310824)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058052, 'lon: ', -1.310625)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058008, 'lon: ', -1.310478)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05798, 'lon: ', -1.310332)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057925, 'lon: ', -1.31018)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.057885, 'lon: ', -1.310035)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.05792, 'lon: ', -1.309884)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.057968, 'lon: ', -1.309764)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058038, 'lon: ', -1.309628)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058126, 'lon: ', -1.309465)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058183, 'lon: ', -1.309343)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058236, 'lon: ', -1.309202)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058301, 'lon: ', -1.309083)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058361, 'lon: ', -1.308951)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058427, 'lon: ', -1.308822)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058497, 'lon: ', -1.3087)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058567, 'lon: ', -1.308587)
('interval: ', datetime.timedelta(0, 3), 'lat: ', 51.058671, 'lon: ', -1.308413)
('interval: ', datetime.timedelta(0, 2), 'lat: ', 51.058734, 'lon: ', -1.308289)
